id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn,has_contract
15,True,False,11.95,25,0.14,0,8.4,2.3,0,False,True
18,False,False,8.22,0,0.0,0,0.0,0.0,0,True,False
23,True,False,8.91,16,0.0,0,13.7,0.9,0,True,False
27,False,False,6.87,21,0.0,1,0.0,0.0,0,True,False
34,False,False,6.39,0,0.0,0,0.0,0.0,0,True,False
56,True,True,11.94,32,1.38,0,69.4,4.0,0,False,True
71,False,False,8.96,18,0.0,0,21.3,2.0,0,True,False
84,False,False,5.48,14,0.0,1,0.0,0.0,0,True,False
94,False,False,8.54,0,0.0,0,0.0,0.0,0,True,False
112,False,False,8.33,0,0.0,0,0.0,0.0,0,True,False
166,True,True,8.44,17,0.0,0,9.9,1.1,0,True,False
174,True,True,11.93,10,1.28,0,10.6,0.6,0,False,True
213,False,False,6.64,10,0.0,0,0.0,0.0,0,True,False
222,False,False,5.53,14,0.0,0,0.0,0.0,0,True,False
270,False,False,6.97,23,0.28,0,0.0,0.0,0,True,True
288,True,True,11.93,18,1.8,0,1.0,0.0,0,False,True
291,True,False,11.93,22,0.01,1,10.6,2.4,0,False,True
417,False,False,6.45,40,0.0,0,0.0,0.0,0,True,False
475,False,False,6.81,14,0.0,0,0.0,0.0,0,True,False
507,True,True,11.93,65,0.21,0,116.8,12.1,0,False,True
530,False,False,5.95,0,0.0,0,0.0,0.0,0,True,False
549,True,False,11.93,24,0.0,0,9.3,0.7,0,False,False
550,False,False,8.53,0,0.0,0,0.0,0.0,0,True,False
600,False,False,11.93,41,0.0,0,24.1,3.2,0,False,False
608,False,False,8.57,20,0.0,0,0.0,0.0,0,True,False
617,False,False,11.93,21,0.0,0,27.8,2.1,0,False,False
642,False,False,5.21,14,0.0,0,0.0,0.0,0,True,False
644,False,False,5.93,0,0.0,0,0.0,0.0,0,True,False
680,False,False,7.02,13,0.0,0,0.0,0.0,0,True,False
682,True,False,10.93,63,0.0,0,38.1,7.9,0,True,False
683,False,False,6.03,9,0.0,0,0.0,0.0,0,True,False
696,False,False,9.22,80,0.0,0,235.0,6.0,0,True,False
730,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
734,False,False,6.6,54,0.0,0,0.0,0.0,0,True,False
774,False,False,11.12,33,0.0,0,11.4,1.6,0,True,False
790,False,False,11.88,129,0.0,0,125.8,9.2,0,True,False
831,False,False,5.44,18,0.0,0,0.0,0.0,0,True,False
848,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
861,True,False,11.93,45,1.83,0,70.3,9.7,0,False,True
905,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
921,True,False,6.35,21,0.0,0,0.0,0.0,0,True,False
928,False,False,6.64,14,0.0,2,0.0,0.0,0,True,False
933,True,False,5.3,79,0.0,2,0.0,0.0,0,True,False
945,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
977,True,True,11.93,16,1.82,0,19.4,1.9,0,False,True
999,False,False,5.53,13,0.0,0,0.0,0.0,0,True,False
1006,True,False,10.26,17,0.0,0,0.0,0.0,0,True,False
1038,False,False,5.7,0,0.0,0,0.0,0.0,0,True,False
1048,False,False,7.79,10,0.0,0,0.0,0.0,0,True,False
1051,True,True,8.13,22,0.0,0,10.2,7.4,0,True,False
1061,False,False,10.8,0,0.0,0,0.0,0.0,0,True,False
1075,True,True,11.93,23,1.85,0,17.5,5.9,0,False,True
1151,False,False,11.93,24,0.0,0,27.8,2.1,0,False,False
1162,True,False,11.93,33,0.0,0,40.9,2.0,0,False,False
1169,True,True,11.93,24,0.0,0,27.8,2.1,0,False,False
1201,False,False,5.7,10,0.0,0,0.0,0.0,0,True,False
1206,True,False,9.18,20,0.0,0,0.0,0.0,0,True,False
1226,False,False,9.75,0,0.0,0,0.0,0.0,0,True,False
1266,True,True,11.93,16,1.56,0,28.3,2.1,0,False,True
1281,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
1296,True,False,6.79,17,0.45,0,0.0,0.0,0,True,True
1311,False,False,5.1,13,0.0,0,0.0,0.0,0,True,False
1327,False,False,7.61,13,0.0,0,0.0,0.0,0,True,False
1413,False,False,11.93,24,0.0,0,27.8,2.1,0,False,False
1414,False,False,5.28,13,0.0,0,0.0,0.0,0,True,False
1416,False,False,7.64,39,0.0,0,0.0,0.0,0,True,False
1455,False,False,6.97,14,0.0,0,0.0,0.0,0,True,False
1457,True,True,6.92,0,0.0,0,0.0,0.0,0,True,False
1492,True,True,11.93,20,1.8,1,62.6,5.2,0,False,True
1517,True,False,11.93,37,0.44,0,26.5,2.2,0,False,True
1522,True,True,11.93,10,1.21,0,10.1,0.3,0,False,True
1568,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
1662,True,True,11.93,21,0.21,0,48.2,2.9,0,False,True
1664,False,False,9.21,24,0.0,0,0.0,0.0,0,True,False
1684,False,False,5.72,0,0.0,0,0.0,0.0,0,True,False
1693,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
1694,False,False,6.12,14,0.0,0,0.0,0.0,0,True,False
1709,False,False,11.93,56,0.0,6,117.3,15.1,0,False,False
1717,True,False,10.08,20,0.0,0,0.0,0.0,0,True,False
1733,False,False,6.81,12,0.0,0,0.0,0.0,0,True,False
1744,True,True,8.19,14,0.0,4,11.5,2.0,0,True,False
1746,False,False,8.04,17,0.0,0,0.0,0.0,0,True,False
1778,False,False,6.23,14,0.0,0,0.0,0.0,0,True,False
1783,False,False,11.93,69,0.52,1,584.6,21.3,0,False,True
1793,False,False,11.93,33,0.0,2,54.7,3.1,0,False,False
1805,False,False,11.93,24,0.0,0,27.8,2.1,0,False,False
1810,True,True,11.93,40,1.1,0,446.2,8.9,0,False,True
1844,True,True,5.99,24,0.0,0,0.0,0.0,0,True,False
1878,True,False,11.93,24,0.0,0,2.9,0.3,0,False,False
1893,True,True,8.38,46,0.0,0,10.8,0.9,0,True,False
1901,False,False,8.25,50,0.0,1,95.1,7.0,0,True,False
1915,True,False,11.09,15,0.0,0,0.0,0.0,0,True,False
1917,True,True,11.93,10,1.2,0,26.7,2.6,0,False,True
1934,False,False,7.29,14,0.0,1,10.2,0.8,0,True,False
1947,False,False,5.34,53,0.0,0,0.0,0.0,0,True,False
1950,True,True,11.93,15,1.66,0,2.8,0.2,0,False,True
1965,False,False,8.72,40,0.0,0,161.6,17.0,0,True,False
1966,False,False,5.52,13,0.0,0,0.0,0.0,0,True,False
1975,True,False,11.93,30,0.97,0,168.6,15.6,0,False,True
1977,True,False,7.81,24,0.0,1,12.2,1.0,0,True,False
2005,True,True,12.8,0,0.0,0,0.0,0.0,0,True,False
2008,False,False,11.93,56,0.0,0,1140.3,65.4,0,False,False
2017,True,True,6.29,14,0.0,0,0.0,0.0,0,True,False
2047,False,False,8.75,21,0.0,0,13.7,1.7,0,True,False
2097,True,True,5.62,0,0.0,0,0.0,0.0,0,True,False
2110,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
2116,False,False,6.42,0,0.0,0,0.0,0.0,0,True,False
2122,False,False,6.35,22,0.0,2,0.0,0.0,0,True,False
2135,False,False,6.24,11,0.0,0,0.0,0.0,0,True,False
2142,False,False,5.14,14,0.0,0,0.0,0.0,0,True,False
2202,False,False,7.22,14,0.0,0,0.0,0.0,0,True,False
2203,False,False,9.38,20,0.0,1,2.0,0.2,0,True,False
2238,False,False,7.82,8,0.0,0,0.0,0.0,0,True,False
2248,True,False,11.93,25,0.4,0,27.8,2.1,0,False,True
2252,True,False,9.59,25,0.0,10,77.5,4.8,0,True,False
2290,True,False,8.27,22,0.0,5,96.1,5.7,0,True,False
2334,True,False,10.55,22,0.0,0,5.0,0.4,0,True,False
2371,False,False,5.64,14,0.0,0,0.0,0.0,0,True,False
2416,True,False,8.36,0,0.0,0,0.0,0.0,0,True,False
2499,False,False,6.54,0,0.0,3,0.0,0.0,3,True,False
2538,False,False,7.09,7,0.0,0,0.0,0.0,0,True,False
2567,True,True,11.93,59,0.46,0,78.2,36.4,0,False,True
2581,True,False,6.83,12,0.0,0,0.0,0.0,0,True,False
2587,True,True,9.23,20,0.0,0,0.0,0.0,0,True,False
2684,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
2705,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
2733,True,False,11.93,25,0.04,0,24.6,3.5,0,False,True
2760,False,False,10.24,0,0.0,0,0.0,0.0,0,True,False
2781,True,True,11.93,15,1.26,0,7.1,0.9,0,False,True
2790,True,False,9.96,29,0.0,0,18.5,4.0,0,True,False
2796,False,False,5.47,16,0.0,0,0.0,0.0,0,True,False
2839,True,True,11.93,21,1.74,0,111.9,6.6,0,False,True
2852,False,False,11.93,24,0.0,0,27.8,2.1,0,False,False
2858,True,True,8.45,37,0.0,2,10.1,1.6,0,True,False
2882,False,False,7.04,13,0.0,0,0.0,0.0,0,True,False
2903,True,False,11.93,24,0.0,0,10.0,0.7,0,False,False
2926,True,True,11.93,34,1.68,2,265.7,18.4,0,False,True
2943,False,False,11.93,24,0.0,0,0.7,0.1,0,False,False
2945,False,False,5.7,0,0.0,0,0.0,0.0,0,True,False
2997,False,False,5.25,0,0.0,0,0.0,0.0,0,True,False
3017,True,True,11.7,24,0.0,0,0.0,0.0,0,True,False
3033,False,False,11.51,24,0.0,0,0.0,0.0,0,True,False
3061,True,False,5.51,0,0.0,0,0.0,0.0,0,True,False
3086,True,True,11.93,17,1.77,0,14.1,1.0,0,False,True
3121,True,False,10.19,14,0.0,0,29.0,2.0,0,True,False
3133,True,False,11.93,21,0.12,0,107.3,2.7,0,False,True
3175,False,False,6.26,13,0.0,0,0.0,0.0,0,True,False
3191,True,False,7.91,24,0.0,0,11.4,1.6,0,True,False
3196,False,False,5.62,0,0.0,0,0.0,0.0,0,True,False
3199,True,False,5.3,12,0.0,0,0.0,0.0,3,True,False
3210,True,True,11.93,15,1.65,0,5.2,0.2,0,False,True
3226,False,False,8.33,18,0.0,0,0.0,0.0,0,True,False
3233,False,False,9.06,20,0.0,0,0.0,0.0,0,True,False
3252,True,False,11.89,24,0.0,0,0.0,0.0,0,True,False
3267,True,False,7.85,5,0.0,0,0.0,0.0,0,True,False
3274,False,False,7.21,10,0.0,0,0.0,0.0,0,True,False
3288,False,False,7.31,14,0.0,0,2.5,0.2,0,True,False
3329,False,False,7.44,22,0.0,2,18.1,2.6,0,True,False
3374,False,False,5.34,0,0.0,0,0.0,0.0,0,True,False
3388,False,False,12.16,0,0.0,0,0.0,0.0,0,True,False
3410,True,True,11.93,15,1.32,1,68.8,3.9,0,False,True
3433,False,False,6.92,21,0.33,1,0.0,0.0,0,True,True
3448,True,True,10.56,0,0.0,0,0.0,0.0,0,True,False
3455,True,True,11.93,48,1.01,1,113.2,7.6,0,False,True
3473,False,False,5.53,0,0.0,0,0.0,0.0,0,True,False
3475,False,False,5.61,0,0.0,0,0.0,0.0,0,True,False
3476,True,False,8.95,42,0.0,0,37.6,5.6,0,True,False
3477,False,False,5.69,13,0.0,0,0.0,0.0,0,True,False
3488,True,False,11.93,22,1.06,0,11.4,0.5,0,False,True
3521,False,False,5.94,0,0.0,0,0.0,0.0,0,True,False
3531,False,False,5.47,0,0.0,0,0.0,0.0,0,True,False
3547,False,False,7.73,0,0.0,0,0.0,0.0,0,True,False
3634,False,False,5.69,0,0.0,0,0.0,0.0,0,True,False
3649,False,False,6.07,0,0.0,0,0.0,0.0,0,True,False
3707,False,False,7.47,0,0.0,0,0.0,0.0,0,True,False
3714,False,False,7.36,0,0.0,0,0.0,0.0,0,True,False
3733,False,False,8.32,0,0.0,0,0.0,0.0,0,True,False
3793,False,False,5.43,18,0.0,0,0.0,0.0,0,True,False
3861,False,False,6.46,0,0.0,0,0.0,0.0,0,True,False
3926,True,True,11.06,22,0.0,0,7.1,0.8,0,True,False
3964,True,False,8.49,0,0.0,0,0.0,0.0,0,True,False
4024,False,False,9.28,0,0.0,0,0.0,0.0,0,True,False
4032,False,False,6.45,14,0.0,0,0.0,0.0,0,True,False
4045,False,False,6.41,21,0.0,0,0.0,0.0,0,True,False
